pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16133050330000,t,3034,W,LEXINGTON,ST,RT-4,,t,3122,,
16142180060000,t,331,S,TRUMBULL,AVE,RM-5,,t,5478,,
16142280210000,t,405,S,SPAULDING,AVE,RM-5,,t,4143,,
16133050250000,t,3054,W,LEXINGTON,ST,RT-4,,t,6458,,
16133080270000,t,3103,W,LEXINGTON,ST,RT-4,,t,3126,,
16133080260000,t,3107,W,LEXINGTON,ST,RT-4,,t,3126,,
16133080200000,t,3121,W,LEXINGTON,ST,RT-4,,t,3123,,
16133080120000,t,3141,W,LEXINGTON,ST,RT-4,,t,3127,,
16144110130000,t,3223,W,LEXINGTON,ST,RT-4,,t,3145,,
16144080020000,t,3555,W,LEXINGTON,ST,RT-4,,t,3136,,
16143080220000,t,3650,W,LEXINGTON,ST,RT-4,,t,4838,,
16143110090000,t,3725,W,LEXINGTON,ST,RT-4,,t,3089,,
16132040430000,t,115,S,CALIFORNIA,AVE,B3-2/RT-4,,t,1728,,
16142040100000,t,3533,W,MONROE,ST,RM-5,,t,3659,,
16142000170000,t,3526,W,MONROE,ST,RM-5,,t,4800,,
16142050100000,t,3441,W,MONROE,ST,RM-5,,t,5957,,
16142020260000,t,3354,W,MONROE,ST,RM-5,,t,4689,,
16142020310000,t,3342,W,MONROE,ST,RM-5,,t,4808,,
16132160370000,t,2724,W,GLADYS,AVE,RT-4,,t,2503,,
16142020380000,t,3324,W,MONROE,ST,RM-5,,t,4780,,
16144070160000,t,3221,W,FLOURNOY,ST,RT-4,,t,3080,,
16133040100000,t,3137,W,FLOURNOY,ST,RT-4,,t,3102,,
16133000190000,t,3134,W,FLOURNOY,ST,RT-4,,t,485,,
16133000180000,t,3134,W,FLOURNOY,ST,RT-4,,t,4848,,
16133000250000,t,3116,W,FLOURNOY,ST,RT-4,,t,2425,,
16133030220000,t,2858,W,FLOURNOY,ST,RT-4,,t,3117,,
16133030250000,t,2850,W,FLOURNOY,ST,RT-4,,t,3116,,
16142140140000,t,3513,W,JACKSON,BLVD,RM-5,,t,4901,,
16133090370000,t,3026,W,POLK,ST,RT-4,,t,3124,,
16133090350000,t,3030,W,POLK,ST,RT-4,,t,3124,,
16133090310000,t,3040,W,POLK,ST,RT-4,,t,3123,,
16133090280000,t,3048,W,POLK,ST,RT-4,,t,3124,,
16133130050000,t,3049,W,POLK,ST,RT-4,,t,3133,,
16133120210000,t,3115,W,POLK,ST,RT-4,,t,3112,,
16133120200000,t,3117,W,POLK,ST,RT-4,,t,3113,,
16133080380000,t,3120,W,POLK,ST,RT-4,,t,3124,,
16133120170000,t,3125,W,POLK,,RT-4,,t,3115,,
